mode,run,tile,out_name,year,original,mean_height,mean_change,mean_abs_change,relative_mean_change,relative_mean_abs_change,mae,rmse,correlation,SD,sd_change,relative_sd_change,wasserstein,q05_shift,q25_shift,q50_shift,q75_shift,q95_shift,shuffle_percentage,patch_size
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_10.0_128x128_ST512,2020,FALSE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,0,0,0,0,0,10,128
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_10.0_128x128_ST512,2020,FALSE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,0,0,0,0,0,10,128
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_15.0_128x128_ST512,2020,FALSE,15.2191565485229,0.516000164349615,2.30638523158622,3.50945165015755,15.686327284588,2.30638523158622,3.82695959191015,0.908241526056329,9.0385413192583,0.555963517362287,6.55418117400607,0.574615899473624,0,0,1,1,1,15,128
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_15.0_128x128_ST512,2020,FALSE,8.17015240468163,-1.26227723314951,1.63341220229846,-13.3823127403657,17.3169826334803,1.63341220229846,3.89091194070608,0.902676252277635,7.63666528142525,-0.914076385694469,-10.6900245765742,1.26227723314999,0,-1,-1,-3,-2,15,128
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_15.0_128x128_ST512,2020,FALSE,21.358421580116,-0.921570844568958,1.55030452954942,-4.13631578953281,6.95828122379329,1.55030452954942,4.93354434295057,0.952572933635931,15.7423577660237,0.0110359593062785,0.0701527782717286,0.936228227175307,0,0,-2,0,0,15,128
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_20.0_128x128_ST512,2020,FALSE,14.891905932612,0.188749548438759,2.4524244414203,1.28373489002628,16.6795780262538,2.4524244414203,3.99165241545122,0.892570212149177,8.69737964472261,0.214801842826592,2.53227082430744,0.203919195839599,0,0,1,0,0,20,128
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_20.0_128x128_ST512,2020,FALSE,7.65539283028408,-1.77703680754706,2.26904112148187,-18.8396508193372,24.055743945137,2.26904112148187,4.72674891397558,0.858939515504659,7.23585157853521,-1.31489008858451,-15.3774975291404,1.7770368075482,0,-1,-1,-4,-3,20,128
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_20.0_128x128_ST512,2020,FALSE,20.9476187636474,-1.33237366103756,2.26154729119814,-5.98013516181167,10.1505747761946,2.26154729119814,6.02757794585516,0.930196880654591,15.7347290119808,0.00340720526343574,0.0216587347541313,1.35509578733198,0,0,-3,0,0,20,128
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_25.0_128x128_ST512,2020,FALSE,14.5584129661175,-0.144743418055798,2.67043133414358,-0.984437723940706,18.1622997427823,2.67043133414358,4.25224816048728,0.872865495910904,8.36746005975303,-0.115117742142981,-1.35710800220719,0.191039584245323,0,1,0,-1,0,25,128
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_25.0_128x128_ST512,2020,FALSE,7.23230204367264,-2.2001275941585,2.81104165684827,-23.3251418630713,29.8018831285407,2.81104165684827,5.36589844802561,0.820145608330138,6.88158157542375,-1.66916009169598,-19.5206469412404,2.20012759415859,0,-1,-1,-5,-4,25,128
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_25.0_128x128_ST512,2020,FALSE,20.5760643856972,-1.70392803898775,2.91874537697143,-7.64779451675171,13.1002978876134,2.91874537697143,6.95138768713433,0.908063161312342,15.7014114472975,-0.0299103594198904,-0.190132525336291,1.73307979710567,0,0,-4,-1,0,25,128
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_30.0_128x128_ST512,2020,FALSE,14.5705723208567,-0.132584063316578,2.68375093669498,-0.901738782152205,18.2528898324432,2.68375093669498,4.27512162897612,0.87171407534509,8.3852671437439,-0.0973106581521126,-1.14718261859457,0.181451785176517,0,1,0,0,0,30,128
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_30.0_128x128_ST512,2020,FALSE,7.19871095972385,-2.23371867810729,2.8455071748855,-23.6812652081537,30.1672769810323,2.8455071748855,5.42354151892631,0.816194127116183,6.84688822904814,-1.70385343807158,-19.9263818789361,2.23371867810685,0,-1,-1,-6,-4,30,128
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_30.0_128x128_ST512,2020,FALSE,20.5783652824153,-1.70162714226968,2.92215201984824,-7.63746732868891,13.1155880313974,2.92215201984824,6.95198445066191,0.908023695469164,15.7002240810373,-0.0310977256800697,-0.197680309780395,1.73119183245487,0,0,-4,-1,0,30,128
