"tile","band","increment","decrease","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"49NHC","B05",0.15,"False",-4.40184583299219,4.63177182847719,-10.6012437236591,11.4849210410101,0.944836498427039,2.71480905956088,"49NHC_B05_15_I","2020"
"49UCP","B05",0.15,"False",-2.54673747180067,2.60828646213539,-90.6995595568728,94.4228119228305,0.813411176947151,2.90445272978901,"49UCP_B05_15_I","2020"
"55HEV","B05",0.15,"False",-2.63695112120399,2.90951146195649,-26.6368018487817,48.9734941204214,0.953889280821034,3.12900883918712,"55HEV_B05_15_I","2020"
"10TES","B8A",0.15,"False",-1.51636352787729,2.92846509933976,0.80347605210283,21.6734521867199,0.938384525011702,3.08373696507327,"10TES_B8A_15_I","2020"
"17SNB","B8A",0.15,"False",-0.423917091533261,2.15082557553915,-0.212027451558154,11.1719968234494,0.896577753225158,2.75828184720362,"17SNB_B8A_15_I","2020"
"20MMD","B8A",0.15,"False",1.39476557251066,1.84823085673382,4.00200261316242,5.80914755108414,0.929399239495717,1.74670378836094,"20MMD_B8A_15_I","2020"
"32TMT","B8A",0.15,"False",-0.66948182380405,1.20671414425876,2.10244296694492,11.4529724292703,0.991630357042153,1.55392388173076,"32TMT_B8A_15_I","2020"
"32UQU","B8A",0.15,"False",0.499647991057665,2.46685934251387,35.4427333201371,47.7339387121391,0.933619256440638,3.17202818544248,"32UQU_B8A_15_I","2020"
"33NTG","B8A",0.15,"False",2.89714619834022,6.60612521399389,50.1768453700715,61.7215063306617,0.943765587296011,7.62328557392908,"33NTG_B8A_15_I","2020"
"34UFD","B8A",0.15,"False",2.98254694285009,3.35152063898335,64.9679589131449,68.2906980463283,0.777152227647788,2.95469285036861,"34UFD_B8A_15_I","2020"
"35VML","B8A",0.15,"False",0.0294897878295316,1.21637410289256,9.12355123861212,30.6864519947659,0.628427503268955,1.5669167412903,"35VML_B8A_15_I","2020"
"49NHC","B8A",0.15,"False",-3.65341230777264,4.73078903351736,-8.23209309912899,11.8885494270528,0.863041170069851,4.12969673591652,"49NHC_B8A_15_I","2020"
"49UCP","B8A",0.15,"False",4.98012011340234,5.69639665361843,93.1127133221444,99.8439689371325,0.458971674739064,3.96867827714574,"49UCP_B8A_15_I","2020"
"55HEV","B8A",0.15,"False",3.46147851241787,4.36571272221315,67.3330092563383,72.5302480087523,0.86871922872154,3.98877385801814,"55HEV_B8A_15_I","2020"
"10TES","B11",0.15,"False",0.490914089838385,0.75068410636512,4.33066036900225,6.53299852708626,0.992022899799816,1.0023639881411,"10TES_B11_15_I","2020"
"17SNB","B11",0.15,"False",0.654522221901378,2.47822611702534,3.76147357179684,12.2460769164696,0.85860083589262,3.20870798325456,"17SNB_B11_15_I","2020"
